date,spot,vol_factor,realized_vol,rate_shift,value,delta,gamma,vega,theta,rho,vanna,volga,delta_sabr,delta_bartlett,vanna_analytic,volga_analytic,vega_0-3M,vega_3M-6M,vega_6M-1Y,vega_1Y+
2026-01-16,691.6599731445312,0.5806264263390221,0.08442131374003307,-0.00036000013351440013,1247789.4155181572,4872.474500701537,-2.4764146001632383,1219402.7593764835,-158377.23313864466,4735031.714725865,-27208.880092774132,-998627.1222535959,5300.62949416807,4806.386771820804,-27179.434620608357,-990897.0066740392,0.0,0.0,-2323158.411515059,3542561.1708915425
2026-01-20,677.5800170898438,0.7870413905812162,0.11443342077898003,-0.00020999908447265347,1176654.0492068012,4803.585331552129,3.449377958991189,1593730.3846111703,-192694.60468981467,4616778.166908504,-27217.33635483057,-5222804.0581835,5398.109936307287,4628.2814013723255,-27193.246324952008,-5207286.871161592,0.0,0.0,-2256577.576746621,3850307.9613577914
2026-01-21,685.4000244140625,0.8224629813391078,0.11958361217725612,-4.999876022338673e-05,1221703.4830319665,4710.981858126156,0.5589350324641096,1376412.2156962096,-177092.11970305635,4569146.267275868,-25752.978515374984,-2783212.985640944,5207.999185867098,4592.3530683125355,-25726.188456786367,-2773561.7137833247,0.0,0.0,-2278113.654015259,3654525.869711468
2026-01-22,688.97998046875,0.8094871822810237,0.1176969705198705,-4.999876022338673e-05,1239952.24174714,4700.612996686774,-0.6730058680487581,1285128.8356106607,-169689.27945624274,4567365.53816426,-25382.342694508898,-1790529.8633917263,5157.331890115616,4607.0860003753905,-25355.144470667325,-1783079.2587270243,0.0,0.0,-2285848.698067111,3570977.533677772
2026-01-23,689.22998046875,0.7848869111078143,0.11412016602632032,-0.00010999917984008678,1239600.7806081288,4735.420574822052,-0.85854164777367,1279782.8743231632,-169031.49379987974,4587837.575033297,-25690.17898366329,-1748440.4620279297,5191.040900426808,4646.422383496803,-25662.971537991354,-1740797.306385776,0.0,0.0,-2287659.615354303,3567442.489677466
2026-01-26,692.72998046875,0.7729392781127665,0.11238301658259732,-0.00017999887466430692,1256142.1422194983,4739.846813041454,-2.044423192490715,1191862.522425951,-162148.59254785278,4585783.645370986,-25381.598830182185,-830634.8778398857,5157.5397743197545,4676.507160704699,-25354.658258544092,-824923.4718444198,0.0,0.0,-2290701.5259970073,3482564.0484229582
2026-01-27,695.489990234375,0.7568999744325989,0.11005095068492068,-0.00023000001907348688,1269607.35175346,4734.398582842664,-2.954548233183381,1123635.039492576,-156129.62627071806,4585370.730353612,-25085.57409452558,-108131.128581875,5121.680073575131,4689.309895352064,-25058.815077950934,-103960.85957611166,0.0,0.0,-2293887.940300679,3417522.9797932548
2026-01-28,695.4199829101562,0.7338466900854106,0.10669907336358804,-0.00010999917984008678,1268777.319087747,4770.2859400850975,-3.1266960334317773,1120511.7743226634,-156067.72933880734,4604743.92676854,-25403.91385037495,-90291.63841518108,5157.556032786912,4729.037719817142,-25377.15494438226,-85858.6309316773,0.0,0.0,-2294784.395122361,3415296.1694450243
2026-01-29,694.0399780273438,0.7134712293783628,0.1037365434425971,-0.0001300001144409202,1260249.909555026,4821.291156694422,-2.8656854243269017,1153312.584000287,-158877.70050456078,4630805.482477913,-25985.85349362326,-461120.48014123365,5224.81016929754,4775.542478128895,-25959.085171445822,-455462.45598559454,0.0,0.0,-2295032.0692154136,3448344.6532157008
2026-01-30,691.969970703125,0.6963333096190178,0.10124474211350913,-0.00020999908447265347,1247584.7199652798,4878.1571108418375,-2.3212177058018924,1206804.7743553477,-163333.6573890886,4658461.547529615,-26687.16022264902,-1062454.8922663732,5307.296043807365,4822.6659377604665,-26660.582970529907,-1055018.9539123569,0.0,0.0,-2294045.240270395,3500850.0146257426
2026-02-02,695.4099731445312,0.6880231149078275,0.10003646511623632,-0.00014999866485595342,1265053.589422036,4874.798323252593,-3.5713422445221816,1114633.0378017905,-156137.29816963844,4649920.423333194,-26253.46177954719,-107332.28257180192,5263.338796155766,4845.1224393790635,-26227.302563294328,-101923.28202853724,0.0,0.0,-2294990.4185540583,3409623.456355849
