date,spot,vol_factor,0-3M,3M-6M,6M-1Y,1Y+,total_parallel,sum_buckets,interaction
2025-12-22,684.8300170898438,0.7874873474552767,0.0,0.0,-2322840.5450604972,3727980.2065256517,1405139.6614651661,1405139.6614651545,1.1641532182693481e-08
2025-12-23,687.9600219726562,0.7731756978100344,0.0,0.0,-2328808.5951148067,3653461.980597803,1324653.3854830079,1324653.3854829962,1.1641532182693481e-08
2025-12-24,690.3800048828125,0.7554809792449286,0.0,0.0,-2332644.721113774,3597192.5012453576,1264547.7801315486,1264547.7801315836,-3.4924596548080444e-08
2025-12-26,690.3099975585938,0.73247100599441,0.0,0.0,-2332088.407451252,3600095.144172525,1268006.7367212614,1268006.736721273,-1.1641532182693481e-08
2025-12-29,687.8499755859375,0.7165461984213191,0.0,0.0,-2325281.3243884826,3654529.9757352564,1329248.6513467855,1329248.6513467738,1.1641532182693481e-08
2025-12-30,687.010009765625,0.6954854352040388,0.0,0.0,-2324064.7084305296,3674353.7797743455,1350289.071343816,1350289.071343816,0.0
2025-12-31,681.9199829101562,0.7030158616270249,0.0,0.0,-2308292.879969417,3790371.0310348542,1482078.1510654488,1482078.1510654371,1.1641532182693481e-08
2026-01-02,683.1699829101562,0.6833566055624354,0.0,0.0,-2311568.412556045,3765088.8999715564,1453520.4874155228,1453520.4874155112,1.1641532182693481e-08
2026-01-05,687.719970703125,0.685910230049209,0.0,0.0,-2319385.1546953083,3656795.9746402223,1337410.8199449023,1337410.819944914,-1.1641532182693481e-08
2026-01-06,691.8099975585938,0.6836606697835091,0.0,0.0,-2325066.8925520265,3556926.714409818,1231859.8218577798,1231859.8218577914,-1.1641532182693481e-08
2026-01-07,689.5800170898438,0.668433844680167,0.0,0.0,-2322185.5208526133,3611131.1236812966,1288945.602828695,1288945.6028286833,1.1641532182693481e-08
2026-01-08,689.510009765625,0.6480763448307569,0.0,0.0,-2323231.99660636,3615384.6318856464,1292152.6352792745,1292152.6352792862,-1.1641532182693481e-08
2026-01-09,694.0700073242188,0.6525938718520622,0.0,0.0,-2327276.4827506617,3501701.306292857,1174424.8235421954,1174424.8235421954,0.0
2026-01-12,695.1599731445312,0.634103394381114,0.0,0.0,-2325815.6603052397,3465921.9045938924,1140106.2442886527,1140106.2442886527,0.0
2026-01-13,693.77001953125,0.6171118198974607,0.0,0.0,-2324564.4412056427,3491940.0214471854,1167375.5802415428,1167375.5802415428,0.0
2026-01-14,690.3599853515625,0.6126516561956878,0.0,0.0,-2319915.8234217437,3575378.1795294257,1255462.3561076587,1255462.356107682,-2.3283064365386963e-08
2026-01-15,692.239990234375,0.5984239084589801,0.0,0.0,-2322844.927185867,3526646.5633641114,1203801.6361782444,1203801.6361782444,0.0
2026-01-16,691.6599731445312,0.5806264263390221,0.0,0.0,-2323535.6071171,3543266.7459548335,1219731.1388377333,1219731.1388377333,0.0
2026-01-20,677.5800170898438,0.7870413905812162,0.0,0.0,-2256948.607911635,3852008.496401657,1595059.8884900333,1595059.8884900217,1.1641532182693481e-08
2026-01-21,685.4000244140625,0.8224629813391078,0.0,0.0,-2278428.7009452586,3655549.221173546,1377120.5202282988,1377120.5202282872,1.1641532182693481e-08
2026-01-22,688.97998046875,0.8094871822810237,0.0,0.0,-2286141.4582080673,3571735.1322036237,1285593.6739955563,1285593.6739955563,0.0
2026-01-23,689.22998046875,0.7848869111078143,0.0,0.0,-2287965.53790794,3568212.382498989,1280246.8445910607,1280246.844591049,1.1641532182693481e-08
2026-01-26,692.72998046875,0.7729392781127665,0.0,0.0,-2290976.6647338867,3483083.86512961,1192107.2003957233,1192107.2003957233,0.0
2026-01-27,695.489990234375,0.7568999744325989,0.0,0.0,-2294132.108302554,3417838.9736190205,1123706.8653164431,1123706.8653164664,-2.3283064365386963e-08
2026-01-28,695.4199829101562,0.7338466900854106,0.0,0.0,-2295039.7323584883,3415628.506445349,1120588.7740868493,1120588.774086861,-1.1641532182693481e-08
2026-01-29,694.0399780273438,0.7134712293783628,0.0,0.0,-2295320.634043601,3448812.984956207,1153492.3509126063,1153492.3509126063,0.0
2026-01-30,691.969970703125,0.6963333096190178,0.0,0.0,-2294378.0311789596,3501523.4670017846,1207145.435822825,1207145.435822825,0.0
2026-02-02,695.4099731445312,0.6880231149078275,0.0,0.0,-2295273.2196947327,3410019.26908812,1114746.0493933759,1114746.0493933875,-1.1641532182693481e-08
2026-02-03,689.530029296875,0.7046577248812902,0.0,0.0,-2285020.319791243,3551727.0560853533,1266706.736294087,1266706.7362941103,-2.3283064365386963e-08
2026-02-04,686.1900024414062,0.6954230817647151,0.0,0.0,-2277911.9014630676,3635538.271127362,1357626.3696643058,1357626.3696642942,1.1641532182693481e-08
2026-02-05,677.6199951171875,0.7533707837930622,0.0,0.0,-2239922.7403420955,3845272.723464493,1605349.983122386,1605349.9831223977,-1.1641532182693481e-08
2026-02-06,690.6199951171875,0.8898273404807425,0.0,0.0,-2263085.6677158736,3502579.82455492,1239494.1568390466,1239494.1568390466,0.0
